motif_id,motif,mage_prob_importance,mage_binary_importance
136,*C1CC(C)OC(*)C1O,0.8249846696853638,0
137,*C1(*)C(=O)NC(=O)NC1=O,0.8070898056030273,0
138,*CC(O)C*,0.7706976532936096,0
139,*C=C*,0.8369756937026978,0
140,*C(=O)CC,0.7862047553062439,0
141,*CC(C)C(*)(*)*,0.8815419673919678,0
142,*C1=CCC=CC1,0.8755491375923157,0
143,*CC=*,0.8369756937026978,0
144,*C(*)C(*)C(*)(CCN(*)C)C(*)*,0.8919779062271118,0
145,*c1cccnc1,0.8467645645141602,0
146,*c1ccc(O)cc1*,0.8320675492286682,0
147,*C1CC(*)N(C)C1,0.8597534894943237,0
148,*SC,0.8432681560516357,0
149,*NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(*)C(C)C(*)C=CO*,0.8434532284736633,0
150,*C(*)(*)C,0.8488722443580627,0
151,*c1cccc(O)c1*,0.8342214226722717,0
152,*C(*)(C)O,0.7818854451179504,0
153,*n1ccnc1,0.800521194934845,0
154,*NC(O)=C(C(*)=O)N(C)S(*)(=O)=O,0.34886252880096436,0
155,*C(*)(C)C,0.8565436005592346,0
156,*C1CCCN1*,0.8729962706565857,0
157,*c1cc(*)c(*)cc1*,0.9079512357711792,0
158,*c1nnnn1*,0.8151497840881348,0
159,*c1cc(*)c(Cl)cc1*,0.9016409516334534,0
160,*CCC=*,0.8589107990264893,0
161,*C(*)(*)*,0.8454246520996094,0
162,*C(=O)NC(*)C(=O)NC(*)C(=O)NC(*)C(=O)NC(*)C(*)=O,0.6217060685157776,0
163,*CCCN,0.829871654510498,0
164,*CCCl,0.8318932056427002,0
165,*S(C)(=O)=O,0.6605367660522461,0
166,*C1CC(*)C(*)C(C)O1,0.9084730744361877,0
167,*C1C(C)C(=O)C2(CO2)CC(C)C(*)C(C)C(*)C(C)C(=O)OC(C)C1C,0.8834739327430725,0
168,*CCC(*)C*,0.8769535422325134,0
169,*C1OC(C)C(O)C(O)C1O,0.496049702167511,0
170,*CCC(*)*,0.8666354417800903,0
171,*c1ccc(*)o1,0.8799957633018494,0
172,*c1noc(*)n1,0.8683885931968689,0
173,*c1ncn(-c2cccc(Cl)c2*)c1*,0.9026526212692261,0
174,*CN(C)C(*)=O,0.802596926689148,0
175,*C(=O)C(*)O,0.6777721047401428,0
176,*C1CC(N)C(*)C(O)C1*,0.8000743985176086,0
177,*C(*)C(*)C(*)C(*)(*)C,0.8973848223686218,0
178,*c1c(*)c(*)c(O)c(C)c1*,0.859899640083313,0
