motif_id,motif,mage_prob_importance,label_0_score,label_1_score
134,*c1c(O)c(=O)ccn1*,0.58221435546875,1.7752847270458005e-05,0.003972345497459173
135,*C1CC(*)(C)C(O)C(C)O1,0.7979137897491455,0.00012402486754581332,0.002802513539791107
136,*C1CC(C)OC(*)C1O,0.7755396962165833,0.00013018251047469676,0.0035427724942564964
137,*C1(*)C(=O)NC(=O)NC1=O,0.6991438865661621,5.620167212327942e-05,1.0713098163250834e-05
138,*CC(O)C*,0.7337062358856201,0.0006265378906391561,0.001429735217243433
139,*C=C*,0.7950502038002014,0.015279781073331833,0.005538955330848694
140,*C(=O)CC,0.6716646552085876,0.0005510638584382832,0.0018887013429775834
141,*CC(C)C(*)(*)*,0.8869996666908264,0.0012213486479595304,0.0006515039713121951
142,*C1=CCC=CC1,0.8462628722190857,0.00013370189117267728,0.007981750182807446
143,*CC=*,0.7950502038002014,0.03802116960287094,0.009513815864920616
144,*C(*)C(*)C(*)(CCN(*)C)C(*)*,0.9471797943115234,0.0,0.0
145,*c1cccnc1,0.7869424223899841,0.001718609593808651,0.0004908455885015428
146,*c1ccc(O)cc1*,0.7908889055252075,0.00014401385851670057,7.776274287607521e-05
147,*C1CC(*)N(C)C1,0.8145221471786499,0.00043719596578739583,0.004099559038877487
148,*SC,0.7590710520744324,0.004681669641286135,0.024410922080278397
149,*NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(*)C(C)C(*)C=CO*,0.8983427882194519,4.00699673264171e-06,0.0002626450441312045
150,*C(*)(*)C,0.8306478261947632,0.0011888592271134257,0.008994159288704395
151,*c1cccc(O)c1*,0.7939643263816833,0.00037904735654592514,0.003456314094364643
152,*C(*)(C)O,0.71908038854599,0.0013673122739419341,0.005416446831077337
153,*n1ccnc1,0.7011082172393799,0.0,0.0
154,*NC(O)=C(C(*)=O)N(C)S(*)(=O)=O,0.46343299746513367,0.0002443365810904652,0.0007857180899009109
155,*C(*)(C)C,0.8171071410179138,0.002648058347404003,0.002916997531428933
156,*C1CCCN1*,0.8026741743087769,0.000227034353883937,0.00044780451571568847
157,*c1cc(*)c(*)cc1*,0.9118068218231201,0.008292675949633121,0.0011593051021918654
158,*c1nnnn1*,0.791560173034668,5.619079456664622e-05,0.0017274614656344056
159,*c1cc(*)c(Cl)cc1*,0.9077218770980835,0.0023353639990091324,0.0003616363392211497
160,*CCC=*,0.8172685503959656,0.007781516294926405,0.000989570515230298
161,*C(*)(*)*,0.8344187140464783,2.8735754312947392e-05,0.0029119267128407955
162,*C(=O)NC(*)C(=O)NC(*)C(=O)NC(*)C(=O)NC(*)C(*)=O,0.6392059922218323,4.413961904314867e-11,5.488347189913645e-12
163,*CCCN,0.7589781880378723,0.003469000570476055,0.0005750012351199985
164,*CCCl,0.7895681262016296,0.004956207703799009,6.0497539379866794e-05
165,*S(C)(=O)=O,0.5729372501373291,3.6071083741262555e-05,0.0011442112736403942
166,*C1CC(*)C(*)C(C)O1,0.8842381238937378,0.0002537094405852258,0.0034013816621154547
167,*C1C(C)C(=O)C2(CO2)CC(C)C(*)C(C)C(*)C(C)C(=O)OC(C)C1C,0.9050167202949524,2.858673951777746e-06,0.0003491516108624637
168,*CCC(*)C*,0.8637561798095703,0.013850627467036247,0.0021571696270257235
169,*C1OC(C)C(O)C(O)C1O,0.45586565136909485,1.3334607729120762e-07,0.0011177454143762589
170,*CCC(*)*,0.8481882214546204,0.0019685353618115187,0.0005408398574218154
171,*c1ccc(*)o1,0.8158546090126038,0.0005689551471732557,0.00013623922131955624
172,*c1noc(*)n1,0.7997111678123474,0.0004832552804145962,0.00023271804093383253
173,*c1ncn(-c2cccc(Cl)c2*)c1*,0.9102372527122498,0.0006898264400660992,0.0003321951371617615
174,*CN(C)C(*)=O,0.7000387907028198,0.000687152030877769,0.001344891730695963
175,*C(=O)C(*)O,0.5760921239852905,0.0004753308021463454,0.004888884257525206
176,*C1CC(N)C(*)C(O)C1*,0.815300464630127,0.00011274152348050848,0.00498474994674325
177,*C(*)C(*)C(*)C(*)(*)C,0.9325380921363831,0.006248733028769493,0.0009704522090032697
178,*c1c(*)c(*)c(O)c(C)c1*,0.8708760142326355,0.00015558089944534004,0.004406393971294165
179,*C(C)C(*)O,0.7300474643707275,0.0,0.0
180,*C1COC(*)(*)O1,0.795113205909729,0.0,0.0
181,*c1ccc(Cl)cc1Cl,0.8809123635292053,0.0,0.0
182,*C1CC(=O)OC(C)CC=CC=CC(O)C(C)CC(*)C(*)C1*,0.8957821130752563,5.447667263069889e-06,0.0007391663384623826
183,*C1CC(C)(O)C(*)C(C)O1,0.8001244068145752,1.0030637895397376e-05,0.0013610064052045345
184,*CC(N)C(=O)O,0.4534396827220917,2.873307494155597e-06,0.008027247153222561
185,*c1ccc(O)c(*)c1,0.7951341271400452,0.0002655161952134222,0.0014127071481198072
186,*c1ccco1,0.7883548736572266,0.0006694522453472018,0.003999938722699881
187,*CCC(*)(*)*,0.8732771873474121,0.0006130571709945798,0.00043943533091805875
188,*C1CC(O)C(O)C(C)O1,0.5875709652900696,3.0599079764215276e-05,0.0015037687262520194
